"exposure","overall_n_exposed_0","overall_n_exposed_1","overall_n_unexposed_0","overall_n_unexposed_1","sex_exposed_0","sex_exposed_1","sex_unexposed_0","sex_unexposed_1","age_exposed_0","age_exposed_1","age_unexposed_0","age_unexposed_1","index_hosp_end_date_year_exposed_0","index_hosp_end_date_year_exposed_1","index_hosp_end_date_year_unexposed_0","index_hosp_end_date_year_unexposed_1"
"Atrial fibrillation","119 879","1 274","6 608 842","133 292","82 964 (69.21)","1 000 (78.49)","2 952 426 (44.67)","73 387 (55.06)","39.03 (13.91)","51.44 (10.19)","40.84 (16.41)","58.46 (9.40)","2007.00 (10.00)","2004.00 (7.00)","2004.00 (8.00)","2001.00 (4.00)"
"Cancers","115 748","5 405","6 289 209","452 925","80 097 (69.20)","3 867 (71.54)","2 795 469 (44.45)","230 344 (50.86)","38.66 (13.89)","49.91 (9.99)","40.20 (16.35)","54.89 (11.45)","2007.00 (10.00)","2003.00 (6.00)","2004.00 (9.00)","2002.00 (5.00)"
"Circulatory system","112 064","9 089","6 147 656","594 478","76 986 (68.70)","6 978 (76.77)","2 697 789 (43.88)","328 024 (55.18)","38.31 (13.82)","49.63 (10.62)","39.74 (16.21)","56.09 (10.85)","2007.00 (9.00)","2004.00 (6.00)","2005.00 (9.00)","2002.00 (5.00)"
"Connective tissue disorders","120 987","166","6 719 394","22 740","83 866 (69.32)","98 (59.04)","3 018 465 (44.92)","7 348 (32.31)","39.16 (13.93)","42.70 (13.07)","41.16 (16.48)","48.68 (14.73)","2007.00 (10.00)","2004.00 (7.00)","2004.00 (8.00)","2001.00 (5.00)"
"Diabetes mellitus","119 505","1 648","6 633 849","108 285","82 740 (69.24)","1 224 (74.27)","2 966 514 (44.72)","59 299 (54.76)","39.06 (13.93)","46.51 (11.58)","40.95 (16.44)","55.60 (11.58)","2007.00 (10.00)","2004.00 (7.00)","2004.00 (8.00)","2001.00 (5.00)"
"Diverticular disease of intestine","120 813","340","6 704 550","37 584","83 735 (69.31)","229 (67.35)","3 010 329 (44.90)","15 484 (41.20)","39.14 (13.93)","48.71 (11.74)","41.11 (16.47)","55.41 (11.47)","2007.00 (10.00)","2004.00 (6.00)","2004.00 (8.00)","2001.00 (5.00)"
"Endocrine system","119 142","2 011","6 566 966","175 168","82 629 (69.35)","1 335 (66.38)","2 957 225 (45.03)","68 588 (39.16)","39.05 (13.94)","45.78 (11.81)","40.90 (16.46)","51.79 (13.52)","2007.00 (10.00)","2004.00 (7.00)","2004.00 (9.00)","2001.00 (4.00)"
"Epilepsy","115 296","5 857","6 688 199","53 935","79 612 (69.05)","4 352 (74.30)","2 994 311 (44.77)","31 502 (58.41)","39.08 (14.03)","40.86 (11.67)","41.16 (16.48)","44.51 (16.55)","2007.00 (10.00)","2004.00 (7.00)","2004.00 (8.00)","2002.00 (6.00)"
"Gastrointestinal system","112 170","8 983","6 604 544","137 590","77 631 (69.21)","6 333 (70.50)","2 952 548 (44.70)","73 265 (53.25)","39.09 (13.94)","40.04 (13.74)","40.99 (16.46)","50.45 (14.81)","2007.00 (9.00)","2003.00 (7.00)","2004.00 (8.00)","2001.00 (5.00)"
"Heart failure","119 572","1 581","6 591 750","150 384","82 734 (69.19)","1 230 (77.80)","2 939 151 (44.59)","86 662 (57.63)","38.99 (13.89)","52.42 (10.02)","40.76 (16.37)","60.03 (8.61)","2007.00 (10.00)","2004.00 (7.00)","2004.00 (9.00)","2001.00 (5.00)"
"HIV or AIDS","121 109","44","6 741 565","569","83 931 (69.30)","33 (75.00)","3 025 365 (44.88)","448 (78.73)","39.17 (13.93)","26.84 (9.24)","41.19 (16.48)","33.06 (11.67)","2007.00 (10.00)","2003.00 (7.00)","2004.00 (8.00)","2003.00 (8.00)"
"Hypertension","119 510","1 643","6 611 805","130 329","82 804 (69.29)","1 160 (70.60)","2 972 994 (44.96)","52 819 (40.53)","39.03 (13.92)","48.84 (10.99)","40.91 (16.44)","55.40 (11.70)","2007.00 (10.00)","2003.00 (7.00)","2004.00 (9.00)","2001.00 (5.00)"
"Chronic kidney disease","120 621","532","6 698 463","43 671","83 567 (69.28)","397 (74.62)","3 002 316 (44.82)","23 497 (53.80)","39.13 (13.93)","47.80 (11.89)","41.09 (16.46)","55.82 (12.46)","2007.00 (10.00)","2003.00 (6.00)","2004.00 (8.00)","2001.00 (5.00)"
"Chronic liver disease","114 025","7 128","6 705 791","36 343","78 982 (69.27)","4 982 (69.89)","3 002 362 (44.77)","23 451 (64.53)","39.19 (13.94)","38.82 (13.77)","41.15 (16.49)","48.02 (13.44)","2007.00 (10.00)","2003.00 (7.00)","2004.00 (8.00)","2002.00 (5.00)"
"Chronic pulmonary diseases","119 099","2 054","6 650 825","91 309","82 455 (69.23)","1 509 (73.47)","2 977 624 (44.77)","48 189 (52.78)","39.01 (13.90)","48.34 (12.52)","41.00 (16.45)","54.47 (13.30)","2007.00 (10.00)","2003.00 (7.00)","2004.00 (8.00)","2001.00 (5.00)"
"Chronic viral hepatitis","119 754","1 399","6 737 993","4 141","83 013 (69.32)","951 (67.98)","3 023 571 (44.87)","2 242 (54.14)","39.34 (13.89)","24.08 (7.18)","41.19 (16.48)","37.92 (15.15)","2007.00 (10.00)","2001.00 (4.00)","2004.00 (8.00)","2001.00 (4.00)"
"Infectious diseases","119 274","1 879","6 731 102","11 032","82 614 (69.26)","1 350 (71.85)","3 018 823 (44.85)","6 990 (63.36)","39.33 (13.90)","28.40 (11.32)","41.18 (16.48)","43.61 (15.59)","2007.00 (10.00)","2001.00 (5.00)","2004.00 (8.00)","2001.00 (5.00)"
"Inflammatory bowel disease","120 966","187","6 722 657","19 477","83 836 (69.31)","128 (68.45)","3 016 867 (44.88)","8 946 (45.93)","39.16 (13.93)","38.82 (14.25)","41.19 (16.48)","38.56 (17.37)","2007.00 (10.00)","2004.00 (7.00)","2004.00 (8.00)","2002.00 (6.00)"
"Ischemic heart disease","118 128","3 025","6 456 539","285 595","81 483 (68.98)","2 481 (82.02)","2 848 021 (44.11)","177 792 (62.25)","38.89 (13.90)","50.05 (10.14)","40.48 (16.36)","57.22 (9.61)","2007.00 (10.00)","2003.00 (7.00)","2004.00 (9.00)","2001.00 (4.00)"
"Multiple sclerosis","121 042","111","6 728 493","13 641","83 911 (69.32)","53 (47.75)","3 022 092 (44.91)","3 721 (27.28)","39.17 (13.93)","36.18 (10.80)","41.20 (16.48)","35.08 (13.25)","2007.00 (10.00)","2004.00 (7.00)","2004.00 (8.00)","2002.00 (5.00)"
"Neurological system","115 107","6 046","6 666 550","75 584","79 501 (69.07)","4 463 (73.82)","2 986 048 (44.79)","39 765 (52.61)","39.07 (14.03)","41.00 (11.81)","41.15 (16.47)","44.74 (16.74)","2007.00 (10.00)","2004.00 (7.00)","2004.00 (8.00)","2002.00 (5.00)"
"Parkinson's disease","121 025","128","6 733 027","9 107","83 876 (69.30)","88 (68.75)","3 020 790 (44.87)","5 023 (55.16)","39.15 (13.93)","52.82 (12.36)","41.16 (16.47)","60.57 (8.94)","2007.00 (10.00)","2004.00 (7.25)","2004.00 (8.00)","2001.00 (5.00)"
"Peripheral artery occlusive disease","119 079","2 074","6 613 923","128 211","82 304 (69.12)","1 660 (80.04)","2 943 144 (44.50)","82 669 (64.48)","38.95 (13.89)","51.51 (10.02)","40.86 (16.42)","57.93 (9.61)","2007.00 (10.00)","2003.00 (6.00)","2004.00 (8.00)","2001.00 (5.00)"
"Prostate disorders","120 609","544","6 669 179","72 955","83 420 (69.17)","544 (100.00)","2 952 858 (44.28)","72 955 (100.00)","39.10 (13.92)","54.13 (8.01)","40.99 (16.45)","58.86 (7.63)","2007.00 (10.00)","2003.00 (7.00)","2004.00 (8.00)","2002.00 (5.00)"
"Stroke","117 869","3 284","6 549 884","192 250","81 493 (69.14)","2 471 (75.24)","2 919 015 (44.57)","106 798 (55.55)","38.83 (13.87)","51.03 (10.53)","40.70 (16.37)","57.86 (10.35)","2007.00 (10.00)","2003.00 (6.00)","2004.00 (9.00)","2001.00 (5.00)"
"Thyroid disorder","120 780","373","6 671 682","70 452","83 847 (69.42)","117 (31.37)","3 015 747 (45.20)","10 066 (14.29)","39.15 (13.94)","42.57 (12.22)","41.13 (16.50)","46.05 (14.19)","2007.00 (10.00)","2003.00 (7.00)","2004.00 (8.00)","2001.00 (4.00)"
"Tuberculosis","120 697","456","6 735 743","6 391","83 581 (69.25)","383 (83.99)","3 021 457 (44.86)","4 356 (68.16)","39.15 (13.94)","41.95 (11.32)","41.18 (16.48)","48.17 (14.47)","2007.00 (10.00)","2003.00 (6.00)","2004.00 (8.00)","2001.00 (5.00)"
"Ulcer or chronic gastritis","119 046","2 107","6 690 532","51 602","82 387 (69.21)","1 577 (74.85)","2 996 066 (44.78)","29 747 (57.65)","39.06 (13.95)","44.83 (11.83)","41.09 (16.46)","53.36 (13.74)","2007.00 (10.00)","2003.00 (6.00)","2004.00 (8.00)","2001.00 (5.00)"
"Urogenital system","120 099","1 054","6 628 096","114 038","83 045 (69.15)","919 (87.19)","2 931 949 (44.24)","93 864 (82.31)","39.06 (13.91)","50.89 (10.64)","40.90 (16.43)","57.65 (9.87)","2007.00 (10.00)","2003.00 (6.00)","2004.00 (8.00)","2001.00 (4.00)"
