"exposure","exposed_30_males_lyl_estimate_with_ci","unexposed_30_males_lyl_estimate_with_ci","exposed_45_males_lyl_estimate_with_ci","unexposed_45_males_lyl_estimate_with_ci","exposed_60_males_lyl_estimate_with_ci","unexposed_60_males_lyl_estimate_with_ci","exposed_30_females_lyl_estimate_with_ci","unexposed_30_females_lyl_estimate_with_ci","exposed_45_females_lyl_estimate_with_ci","unexposed_45_females_lyl_estimate_with_ci","exposed_60_females_lyl_estimate_with_ci","unexposed_60_females_lyl_estimate_with_ci"
"Atrial fibrillation","24.92 (19.32; 32.31)","7.18 (5.47; 9.35)","15.19 (13.49; 16.97)","5.58 (4.56; 6.66)","7.67 (6.97; 8.43)","2.69 (2.17; 3.18)","24.21 (12.62; 40.76)","14.10 (4.85; 24.44)","19.13 (12.03; 30.35)","4.84 (2.96; 6.92)","9.01 (7.45; 10.65)","2.29 (1.29; 3.39)"
"Cancers","33.27 (31.81; 34.86)","29.51 (28.52; 30.56)","24.20 (23.76; 24.67)","21.49 (21.04; 21.90)","12.51 (12.24; 12.80)","9.19 (8.93; 9.44)","34.55 (31.44; 37.78)","28.30 (25.74; 30.90)","25.00 (23.95; 26.02)","17.56 (16.69; 18.40)","12.92 (12.28; 13.53)","8.19 (7.73; 8.66)"
"Circulatory system","25.25 (23.78; 26.75)","13.09 (12.06; 14.22)","16.49 (15.96; 16.98)","8.21 (7.79; 8.62)","8.19 (7.88; 8.48)","3.55 (3.34; 3.74)","29.63 (26.79; 33.03)","12.18 (10.59; 13.89)","18.92 (17.56; 20.32)","8.67 (7.95; 9.48)","8.41 (7.82; 9.02)","3.87 (3.51; 4.23)"
"Connective tissue disorders","17.99 (11.24; 24.44)","6.77 (3.26; 9.84)","14.37 (7.71; 20.13)","5.77 (2.77; 8.48)","5.18 (0.41; 8.58)","3.24 (0.80; 5.01)","18.11 (8.91; 28.72)","0.38 (-2.92; 3.48)","14.46 (8.92; 20.23)","0.82 (-2.57; 4.13)","6.92 (1.41; 11.92)","1.43 (-1.85; 4.96)"
"Diabetes mellitus","27.49 (25.01; 30.10)","13.40 (12.17; 14.71)","18.00 (16.94; 18.93)","10.47 (9.71; 11.11)","8.60 (7.84; 9.33)","5.61 (5.12; 6.11)","32.23 (26.81; 37.61)","13.69 (11.41; 15.95)","17.75 (15.14; 20.31)","11.69 (10.28; 13.02)","7.61 (6.17; 9.05)","6.66 (5.81; 7.48)"
"Diverticular disease of intestine","15.39 (11.47; 19.50)","2.09 (-0.82; 5.57)","13.23 (10.53; 16.04)","1.62 (-0.38; 3.63)","7.04 (4.97; 9.07)","0.32 (-0.78; 1.43)","12.52 (4.63; 22.09)","4.23 (0.11; 9.48)","12.96 (5.58; 21.94)","4.66 (0.47; 9.68)","4.73 (1.37; 7.81)","1.32 (0.04; 2.66)"
"Endocrine system","26.32 (24.10; 28.66)","12.25 (11.20; 13.45)","17.34 (16.27; 18.37)","9.60 (8.93; 10.33)","8.15 (7.37; 8.91)","5.42 (4.95; 5.89)","23.66 (20.01; 27.53)","5.44 (4.29; 6.65)","14.58 (12.53; 16.78)","5.27 (4.26; 6.30)","6.57 (5.24; 7.83)","3.50 (2.74; 4.20)"
"Epilepsy","24.55 (23.80; 25.24)","18.69 (18.16; 19.19)","17.31 (16.83; 17.83)","13.69 (13.32; 14.05)","8.69 (8.10; 9.25)","7.17 (6.84; 7.51)","25.56 (23.68; 27.38)","18.55 (17.64; 19.52)","16.65 (15.55; 17.77)","14.47 (13.75; 15.17)","8.13 (7.07; 9.23)","8.24 (7.63; 8.87)"
"Gastrointestinal system","25.83 (25.31; 26.37)","16.46 (16.07; 16.87)","19.94 (19.52; 20.39)","13.27 (12.92; 13.60)","9.65 (9.23; 10.07)","5.61 (5.31; 5.89)","28.19 (27.17; 29.24)","13.40 (12.65; 14.14)","22.22 (21.36; 23.01)","10.91 (10.28; 11.54)","9.56 (8.72; 10.33)","4.54 (4.08; 5.03)"
"Heart failure","37.10 (32.23; 41.81)","29.67 (27.19; 32.64)","21.90 (20.58; 23.25)","19.21 (18.27; 20.09)","11.30 (10.78; 11.80)","9.45 (9.10; 9.82)","41.26 (35.86; 45.83)","37.41 (33.04; 41.76)","25.00 (20.99; 28.99)","23.19 (20.90; 25.38)","12.29 (10.95; 13.59)","10.98 (10.19; 11.83)"
"HIV or AIDS","23.34 (6.79; 32.52)","20.78 (9.28; 28.40)",NA,"7.30 (-7.85; 18.47)",NA,NA,NA,NA,NA,NA,NA,NA
"Hypertension","21.72 (19.18; 24.86)","9.18 (7.58; 10.90)","15.40 (14.25; 16.49)","5.96 (5.15; 6.71)","7.63 (6.97; 8.29)","3.25 (2.75; 3.72)","25.18 (19.15; 31.76)","7.44 (4.75; 10.98)","15.73 (12.97; 18.70)","3.61 (2.59; 4.72)","6.06 (4.71; 7.31)","1.95 (1.31; 2.59)"
