"exposure","n_prop_matched","n_prop_matched_incomplete"
"Atrial fibrillation","1 274 (100.00)","0 (0.00)"
"Cancers","5 405 (100.00)","0 (0.00)"
"Circulatory system","9 089 (100.00)","0 (0.00)"
"Connective tissue disorders","166 (100.00)","0 (0.00)"
"Diabetes mellitus","1 648 (100.00)","0 (0.00)"
"Diverticular disease of intestine","340 (100.00)","0 (0.00)"
"Endocrine system","2 011 (100.00)","0 (0.00)"
"Epilepsy","5 854 (99.95)","1 (0.02)"
"Gastrointestinal system","8 905 (99.13)","10 (0.11)"
"Heart failure","1 581 (100.00)","0 (0.00)"
"HIV or AIDS","36 (81.82)","17 (47.22)"
"Hypertension","1 643 (100.00)","0 (0.00)"
"Chronic kidney disease","532 (100.00)","0 (0.00)"
"Chronic liver disease","6 240 (87.54)","129 (2.07)"
"Chronic pulmonary diseases","2 054 (100.00)","0 (0.00)"
"Chronic viral hepatitis","784 (56.04)","157 (20.03)"
"Infectious diseases","1 509 (80.31)","88 (5.83)"
"Inflammatory bowel disease","187 (100.00)","0 (0.00)"
"Ischemic heart disease","3 025 (100.00)","0 (0.00)"
"Multiple sclerosis","111 (100.00)","0 (0.00)"
"Neurological system","6 046 (100.00)","0 (0.00)"
"Parkinson's disease","122 (95.31)","8 (6.56)"
"Peripheral artery occlusive disease","2 074 (100.00)","0 (0.00)"
"Prostate disorders","544 (100.00)","1 (0.18)"
"Stroke","3 284 (100.00)","0 (0.00)"
"Thyroid disorder","373 (100.00)","0 (0.00)"
"Tuberculosis","456 (100.00)","3 (0.66)"
"Ulcer or chronic gastritis","2 107 (100.00)","0 (0.00)"
"Urogenital system","1 054 (100.00)","0 (0.00)"
