"exposure","overall_n_unexposed","overall_n_exposed","sex_unexposed","sex_exposed","first_comorbid_hosp_work_status_unexposed","first_comorbid_hosp_work_status_exposed","first_comorbid_hosp_age_unexposed","first_comorbid_hosp_age_exposed","comorbid_hosp_end_date_year_unexposed","comorbid_hosp_end_date_year_exposed"
"Atrial fibrillation","3 819","1 274","2 998 (78.50)","1 000 (78.49)","987 (25.84)","329 (25.82)","58.62 (10.09)","58.17 (10.13)","2012 (7)","2012 (7)"
"Cancers","16 215","5 405","11 601 (71.54)","3 867 (71.54)","4 152 (25.61)","1 384 (25.61)","56.94 (9.93)","56.54 (9.90)","2011 (8)","2011 (8)"
"Circulatory system","27 267","9 089","20 934 (76.77)","6 978 (76.77)","6 915 (25.36)","2 305 (25.36)","56.18 (10.37)","55.80 (10.38)","2011 (7)","2011 (7)"
"Connective tissue disorders","497","166","293 (58.95)","98 (59.04)","198 (39.84)","66 (39.76)","49.17 (13.27)","48.87 (13.29)","2011 (8)","2011 (7.75)"
"Diabetes mellitus","4 944","1 648","3 672 (74.27)","1 224 (74.27)","1 161 (23.48)","387 (23.48)","52.67 (11.62)","52.29 (11.61)","2011 (7)","2011 (7)"
"Diverticular disease of intestine","1 018","340","685 (67.29)","229 (67.35)","303 (29.76)","101 (29.71)","55.98 (11.65)","55.82 (11.70)","2012 (7)","2012 (7)"
"Endocrine system","6 033","2 011","4 005 (66.38)","1 335 (66.38)","1 626 (26.95)","542 (26.95)","51.94 (11.87)","51.61 (11.86)","2011 (7)","2011 (7)"
"Epilepsy","17 327","5 785","12 812 (73.94)","4 280 (73.98)","5 045 (29.12)","1 682 (29.08)","46.10 (12.10)","45.52 (11.81)","2010 (8)","2010 (8)"
"Gastrointestinal system","26 161","8 735","18 310 (69.99)","6 116 (70.02)","6 549 (25.03)","2 183 (24.99)","45.68 (14.21)","45.15 (13.94)","2009 (8)","2009 (8)"
"Heart failure","4 741","1 581","3 689 (77.81)","1 230 (77.80)","716 (15.10)","239 (15.12)","60.16 (9.75)","59.70 (9.82)","2012 (6)","2012 (6)"
"Hypertension","4 925","1 642","3 476 (70.58)","1 159 (70.58)","1 116 (22.66)","372 (22.66)","55.05 (11.00)","54.66 (11.01)","2010 (8)","2010 (8)"
"Chronic kidney disease","1 596","532","1 191 (74.62)","397 (74.62)","276 (17.29)","92 (17.29)","54.50 (12.21)","54.22 (12.07)","2011 (8)","2011 (8)"
"Chronic liver disease","17 660","6 007","12 049 (68.23)","4 095 (68.17)","4 673 (26.46)","1 574 (26.20)","47.14 (13.02)","45.79 (13.23)","2009 (8)","2009 (8)"
"Chronic pulmonary diseases","6 161","2 054","4 526 (73.46)","1 509 (73.47)","1 053 (17.09)","351 (17.09)","54.67 (13.03)","54.23 (12.95)","2010 (8)","2010 (8)"
"Chronic viral hepatitis","1 962","776","1 230 (62.69)","485 (62.50)","660 (33.64)","255 (32.86)","30.84 (9.09)","29.98 (9.10)","2006 (7)","2007 (8)"
"Infectious diseases","4 068","1 444","2 848 (70.01)","1 005 (69.60)","1 177 (28.93)","415 (28.74)","36.11 (12.45)","34.93 (12.58)","2007 (8)","2007 (8)"
"Inflammatory bowel disease","561","187","384 (68.45)","128 (68.45)","231 (41.18)","77 (41.18)","44.38 (14.88)","44.39 (14.61)","2011 (9)","2011 (9)"
"Ischemic heart disease","9 074","3 025","7 443 (82.03)","2 481 (82.02)","2 493 (27.47)","831 (27.47)","56.75 (9.73)","56.36 (9.76)","2011 (7)","2011 (7)"
"Multiple sclerosis","333","111","159 (47.75)","53 (47.75)","144 (43.24)","48 (43.24)","41.36 (11.08)","41.41 (10.98)","2010 (8)","2010 (7.5)"
"Neurological system","18 037","6 015","13 288 (73.67)","4 432 (73.68)","5 249 (29.10)","1 750 (29.09)","46.07 (12.23)","45.64 (11.94)","2010 (8)","2010 (8)"
"Parkinson's disease","341","119","231 (67.74)","80 (67.23)","66 (19.35)","24 (20.17)","62.16 (9.69)","60.65 (10.60)","2011 (7)","2011 (7)"
"Peripheral artery occlusive disease","6 218","2 074","4 976 (80.03)","1 660 (80.04)","1 245 (20.02)","415 (20.01)","58.20 (9.63)","57.75 (9.70)","2011 (7)","2011 (7)"
"Prostate disorders","1 626","542","1 626 (100.00)","542 (100.00)","447 (27.49)","149 (27.49)","61.46 (7.18)","61.06 (7.42)","2011 (8)","2011 (8)"
"Stroke","9 849","3 284","7 410 (75.24)","2 471 (75.24)","1 872 (19.01)","624 (19.00)","57.81 (10.27)","57.36 (10.26)","2011 (8)","2011 (8)"
"Thyroid disorder","1 118","373","350 (31.31)","117 (31.37)","474 (42.40)","158 (42.36)","48.85 (12.49)","48.66 (12.49)","2010 (7)","2010 (7)"
"Tuberculosis","1 302","447","1 098 (84.33)","374 (83.67)","248 (19.05)","87 (19.46)","48.26 (10.71)","47.67 (10.67)","2009 (8)","2009 (7.5)"
"Ulcer or chronic gastritis","6 320","2 107","4 730 (74.84)","1 577 (74.85)","1 572 (24.87)","524 (24.87)","50.78 (12.07)","50.36 (11.92)","2010 (8)","2010 (8)"
"Urogenital system","3 162","1 054","2 757 (87.19)","919 (87.19)","702 (22.20)","234 (22.20)","57.90 (10.68)","57.48 (10.63)","2011 (7)","2011 (7)"
