"exposure","unexposed","exposed"
"Atrial fibrillation","751 (19.65)","493 (38.70)"
"Cancers","7 517 (46.36)","3 526 (65.24)"
"Circulatory system","6 517 (23.90)","3 900 (42.91)"
"Connective tissue disorders","53 (10.64)","42 (25.30)"
"Diabetes mellitus","1 338 (27.06)","705 (42.78)"
"Diverticular disease of intestine","135 (13.24)","101 (29.71)"
"Endocrine system","1 311 (21.73)","765 (38.04)"
"Epilepsy","5 034 (28.67)","2 224 (37.99)"
"Gastrointestinal system","6 427 (24.07)","3 791 (42.57)"
"Heart failure","2 249 (47.42)","928 (58.70)"
"HIV or AIDS","16 (19.05)","9 (25.00)"
"Hypertension","993 (20.15)","643 (39.14)"
"Chronic kidney disease","722 (45.24)","310 (58.27)"
"Chronic liver disease","8 102 (43.73)","3 083 (49.41)"
"Chronic pulmonary diseases","2 232 (36.22)","1 005 (48.93)"
"Chronic viral hepatitis","139 (6.55)","92 (11.73)"
"Infectious diseases","634 (14.44)","307 (20.34)"
"Inflammatory bowel disease","78 (13.90)","39 (20.86)"
"Ischemic heart disease","2 045 (22.53)","1 199 (39.64)"
"Multiple sclerosis","13 (3.90)","16 (14.41)"
"Neurological system","4 652 (25.65)","2 278 (37.68)"
"Parkinson's disease","155 (43.79)","57 (46.72)"
"Peripheral artery occlusive disease","2 220 (35.68)","1 001 (48.26)"
"Prostate disorders","247 (15.15)","171 (31.43)"
"Stroke","3 555 (36.08)","1 701 (51.80)"
"Thyroid disorder","62 (5.54)","62 (16.62)"
"Tuberculosis","426 (31.23)","201 (44.08)"
"Ulcer or chronic gastritis","1 790 (28.32)","901 (42.76)"
"Urogenital system","804 (25.43)","468 (44.40)"
